,iter_num,Selected Band,Action Type,Mean,Min,Max,Metric Current State,Metric Next State,Reward,Loss
0,0.0,0.0,Random Action,0.022124121,-0.15038636,0.79441977,0.0,0.0,1.0,0.4740137457847595
1,0.0,1.0,Random Action,0.031371303,-0.17794137,1.2123501,0.0,0.11000377231956125,0.8958307559302701,0.23793457448482513
2,0.0,2.0,Max Action,0.037036322,-0.22655398,1.5741094,0.11000377231956125,0.28028472191148107,0.8434278226036854,0.044158317148685455
3,0.0,3.0,Random Action,0.042194583,-0.25070214,1.8813691,0.28028472191148107,0.38218846535816653,0.9031164783646266,0.03860093280673027
4,0.0,4.0,Random Action,0.05029598,-0.29475576,2.3334644,0.38218846535816653,0.3531948582915906,1.0294180134532693,0.7996346950531006
5,0.0,5.0,Random Action,0.048220344,-0.28933015,2.218325,0.3531948582915906,0.40375598477873864,0.9506958142007098,0.3041916787624359
6,0.0,6.0,Random Action,0.045035414,-0.27705523,1.9612684,0.40375598477873864,0.45221991274962425,0.9526917042089166,0.3357522189617157
7,0.0,7.0,Random Action,0.03684447,-0.2307857,1.528477,0.45221991274962425,0.4335687241113319,1.0188262084731106,0.2160695493221283
8,0.0,8.0,Random Action,0.039337344,-0.24400634,1.5133483,0.4335687241113319,0.434575259111484,0.9989939713862884,1.103570580482483
9,0.0,9.0,Random Action,0.038795136,-0.22863245,1.3519211,0.434575259111484,0.4527117067180661,0.9820270279786536,0.06809052079916
10,0.0,10.0,Random Action,0.03289486,-0.19104692,1.1132746,0.4527117067180661,0.4588156993920787,0.9939145988425422,0.09777826815843582
11,0.0,11.0,Random Action,0.028945817,-0.18022244,0.9465477,0.4588156993920787,0.4741997190188438,0.984733709912155,0.3884319067001343
12,0.0,12.0,Random Action,0.028161954,-0.17070709,0.8647862,0.4741997190188438,0.46450119926924505,1.0097457028041674,0.9385467767715454
13,0.0,13.0,Random Action,0.027090713,-0.17102262,0.86062044,0.46450119926924505,0.47006656504403466,0.9944500921836218,0.7866254448890686
14,0.0,14.0,Random Action,0.028138513,-0.17312256,0.9002892,0.47006656504403466,0.42118355166827903,1.0500974961927918,0.088671013712883
15,0.0,15.0,Random Action,0.030064961,-0.18125698,0.98937243,0.42118355166827903,0.4377551995705926,0.9835649065037451,0.7073530554771423
16,0.0,16.0,Random Action,0.033918947,-0.19648597,1.0805144,0.4377551995705926,0.4139685377573085,1.0240718209592303,0.7505769729614258
17,0.0,17.0,Random Action,0.037456583,-0.19644928,1.150789,0.4139685377573085,0.4109102251175555,1.003062994049042,0.06697503477334976
18,0.0,18.0,Random Action,0.036796793,-0.19087389,1.133517,0.4109102251175555,0.39497180479255845,1.0160661144584555,0.6409620642662048
19,0.0,19.0,Random Action,0.038936988,-0.19742972,1.2010864,0.39497180479255845,0.39482510761479317,1.0001467079383224,0.6308077573776245
20,0.0,20.0,Random Action,0.041769806,-0.20484908,1.314729,0.39482510761479317,0.4034287966992037,0.991433216730625,0.39981988072395325
21,0.0,21.0,Random Action,0.05160606,-0.21441132,1.620506,0.4034287966992037,0.40250011380017026,1.0009291142585186,0.4965681731700897
22,0.0,22.0,Random Action,0.06431242,-0.24824674,2.0289145,0.40250011380017026,0.4111229786946473,0.991414205377847,1.7145718336105347
23,0.0,23.0,Random Action,0.06560783,-0.24750975,2.0484917,0.4111229786946473,0.40509835051679777,1.0060428127502778,0.12761135399341583
24,0.0,24.0,Random Action,0.06500498,-0.23895109,2.0159929,0.40509835051679777,0.4114589559935843,0.9936595803535194,0.28401413559913635
25,0.0,25.0,Random Action,0.064555824,-0.24385417,1.9872386,0.4114589559935843,0.41825697360335196,0.9932250366412942,0.03589317947626114
26,0.0,26.0,Random Action,0.060639247,-0.23174354,1.8832834,0.41825697360335196,0.42429234566919044,0.993982804206908,0.04124925285577774
27,0.0,27.0,Random Action,0.060023375,-0.23356804,1.8611703,0.42429234566919044,0.42488322226847386,0.9994092979339169,0.16100221872329712
28,0.0,28.0,Random Action,0.06197654,-0.23926121,1.9122219,0.42488322226847386,0.4303740445276744,0.9945242247525878,0.05420180782675743
29,0.0,29.0,Random Action,0.06709067,-0.25168744,2.049735,0.4303740445276744,0.4297349359295647,1.0006393128715252,0.2933877408504486
30,25.0,0.0,Random Action,0.350988,-1.1631716,17.698751,0.0,0.0,1.0,1.0088446140289307
31,25.0,1.0,Random Action,0.34094545,-1.1033449,17.0897,0.0,0.1997101204568153,0.8189681207770333,1.0518548488616943
32,25.0,2.0,Max Action,0.3532201,-1.1745185,17.747522,0.1997101204568153,0.3645952480451814,0.847991109276991,0.804668664932251
33,25.0,3.0,Max Action,0.35638493,-1.203718,17.93034,0.3645952480451814,0.4292610890042622,0.9373806452656077,0.8147286772727966
34,25.0,4.0,Max Action,0.368539,-1.2685155,18.60616,0.4292610890042622,0.40315517923699945,1.0264496537608014,0.9767504930496216
35,25.0,5.0,Random Action,0.40444455,-1.394598,20.507122,0.40315517923699945,0.46120192682347866,0.943605835110355,1.3467398881912231
36,25.0,6.0,Random Action,0.3970821,-1.3688924,20.131714,0.46120192682347866,0.4399559815972568,1.0214732472149517,1.6846961975097656
37,25.0,7.0,Random Action,0.38512596,-1.3455006,19.365835,0.4399559815972568,0.4300244651641236,1.0099809976145246,0.8066245317459106
38,25.0,8.0,Max Action,0.37007195,-1.3297864,18.474901,0.4300244651641236,0.4144122316152574,1.0157347411759738,1.6936887502670288
