,iter_num,Selected Band,Action Type,Mean,Min,Max,Metric Current State,Metric Next State,Reward,Loss
0,0.0,0.0,Random Action,0.015745554,-0.11704202,1.0013876,0.0,0.0,1.0,0.4643155634403229
1,0.0,1.0,Random Action,0.018505136,-0.12592573,1.2056868,0.0,0.11737012394591761,0.8892559973068807,0.3999776542186737
2,0.0,2.0,Random Action,0.01892199,-0.1227617,1.2780514,0.11737012394591761,0.1497358893882382,0.968152400618431,0.23103304207324982
3,0.0,3.0,Random Action,0.022978121,-0.13528526,1.5890104,0.1497358893882382,0.14481743832017344,1.004930566503434,0.0975457951426506
4,0.0,4.0,Random Action,0.029046217,-0.18808585,2.0828025,0.14481743832017344,0.21939475072493805,0.9281357148810164,0.1321980208158493
5,0.0,5.0,Random Action,0.029640337,-0.21317805,2.1588604,0.21939475072493805,0.21335883535028696,1.0060541682175816,1.6263028383255005
6,0.0,6.0,Random Action,0.029944647,-0.2461037,2.1333597,0.21335883535028696,0.22796716356387706,0.9854978557275561,0.07394838333129883
7,0.0,7.0,Random Action,0.033223193,-0.29949364,2.3458781,0.22796716356387706,0.23114270052455382,0.9968294997240142,0.018025774508714676
8,0.0,8.0,Random Action,0.03455547,-0.3157358,2.3908486,0.23114270052455382,0.23895324566908757,0.9922198779047997,3.7780723571777344
9,0.0,9.0,Random Action,0.03065778,-0.30288666,2.0426002,0.23895324566908757,0.23362299754531748,1.0053444791700679,0.03292575851082802
10,0.0,10.0,Random Action,0.029401282,-0.31464794,1.8876613,0.23362299754531748,0.23292434454972988,1.000698897110439,0.07506627589464188
11,0.0,11.0,Random Action,0.024315279,-0.27150962,1.5168791,0.23292434454972988,0.23548470596218818,0.9974429135172255,0.4091586172580719
12,0.0,12.0,Random Action,0.020616304,-0.23477502,1.2727468,0.23548470596218818,0.26796518749703563,0.9680413443281551,0.39090028405189514
13,0.0,13.0,Random Action,0.01913427,-0.21663123,1.1532953,0.26796518749703563,0.2664624755491647,1.001503841585239,0.13016365468502045
14,0.0,14.0,Random Action,0.01603172,-0.17070165,0.9680737,0.2664624755491647,0.2650977635316442,1.001365643660726,0.603822648525238
15,0.0,15.0,Random Action,0.016324505,-0.16303141,0.98137665,0.2650977635316442,0.2620466100882264,1.0030558129498366,0.3317035734653473
16,0.0,16.0,Random Action,0.017959466,-0.1871983,1.078164,0.2620466100882264,0.2637714244430877,0.9982766722825707,0.03960440307855606
17,0.0,17.0,Random Action,0.019139865,-0.20202032,1.1473948,0.2637714244430877,0.25045331000277377,1.0134071955512878,0.0362173430621624
18,0.0,18.0,Random Action,0.020180319,-0.22197129,1.2390531,0.25045331000277377,0.23232848892846386,1.018290072518302,0.09949994832277298
19,0.0,19.0,Random Action,0.022203771,-0.25045094,1.3609614,0.23232848892846386,0.23326304447994686,0.999065881009549,0.03254798799753189
20,0.0,20.0,Max Action,0.021527972,-0.22953418,1.2963526,0.23326304447994686,0.23730867764895103,0.995962539380105,0.18420013785362244
21,0.0,21.0,Random Action,0.02075314,-0.20774211,1.2424225,0.23730867764895103,0.24312872864967267,0.9941968526867639,1.6336160898208618
22,0.0,22.0,Random Action,0.019247588,-0.18514192,1.140269,0.24312872864967267,0.24934061035959923,0.9938073721390892,0.40454375743865967
23,0.0,23.0,Random Action,0.019646915,-0.18898645,1.1444263,0.24934061035959923,0.23922866813560453,1.010163240674954,1.6102107763290405
24,0.0,24.0,Random Action,0.01898756,-0.20186278,1.0831081,0.23922866813560453,0.23871203072515132,1.000516770890546,0.05696987360715866
25,0.0,25.0,Random Action,0.018452372,-0.21089073,1.0435641,0.23871203072515132,0.23974098978961275,0.9989715701323939,0.7593046426773071
26,0.0,26.0,Random Action,0.016503856,-0.1817284,0.92001885,0.23974098978961275,0.2535907912987262,0.9862456657494105,0.5807526707649231
27,0.0,27.0,Random Action,0.015614042,-0.17009416,0.85935277,0.2535907912987262,0.25847922784249555,0.995123492416248,0.05831670016050339
28,0.0,28.0,Random Action,0.016075237,-0.17837997,0.8910691,0.25847922784249555,0.2595909399069891,0.9988889056584324,0.1196693405508995
29,0.0,29.0,Random Action,0.01532196,-0.16327773,0.84953654,0.2595909399069891,0.2613405718117926,0.9982518978088224,0.716375470161438
30,25.0,0.0,Random Action,0.1295973,-0.84934044,11.7303095,0.0,0.0,1.0,0.7643184661865234
31,25.0,1.0,Random Action,0.13359009,-0.8603951,12.2235365,0.0,0.04019027297116651,0.9606066442820833,0.517821192741394
32,25.0,2.0,Max Action,0.15256299,-0.9333397,14.114632,0.04019027297116651,0.136845864311656,0.9078686301128884,0.5496691465377808
33,25.0,3.0,Max Action,0.15313168,-0.885529,14.271156,0.136845864311656,0.14325399872801797,0.9936123538896869,0.9502232670783997
34,25.0,4.0,Random Action,0.15769026,-0.9179936,14.71253,0.14325399872801797,0.17288622087641617,0.9708025075614772,1.9816581010818481
35,25.0,5.0,Max Action,0.14611742,-0.83952075,13.544937,0.17288622087641617,0.24641580908308539,0.9291086547259214,0.7049722075462341
36,25.0,6.0,Max Action,0.1413177,-0.81824857,12.988503,0.24641580908308539,0.24752476128984352,0.9988916624535097,0.587348222732544
37,25.0,7.0,Max Action,0.13438146,-0.7771316,12.220989,0.24752476128984352,0.2693474208666675,0.9784137319720158,1.000730037689209
38,25.0,8.0,Random Action,0.12953654,-0.7493015,11.737541,0.2693474208666675,0.28640000229999313,0.983091990889884,1.3356226682662964
39,25.0,9.0,Max Action,0.1302024,-0.7464227,11.8342905,0.28640000229999313,0.30720381066070696,0.9794110979902076,0.9424660801887512
40,25.0,10.0,Random Action,0.13520452,-0.77672285,12.341335,0.30720381066070696,0.28626627302674734,1.0211582656840623,0.5784419178962708
41,25.0,11.0,Max Action,0.14159612,-0.8090057,13.023679,0.28626627302674734,0.2724719715440156,1.0138898818418598,0.7064623236656189
42,25.0,12.0,Max Action,0.1419994,-0.7987459,13.150342,0.2724719715440156,0.2565868537412438,1.0160119570151842,0.8089141249656677
43,25.0,13.0,Max Action,0.14255299,-0.79632187,13.227255,0.2565868537412438,0.2556785951237434,1.0009086712092623,0.5781656503677368
44,25.0,14.0,Random Action,0.14838676,-0.82906836,13.814145,0.2556785951237434,0.2521826407630276,1.0035020723364725,0.6467361450195312
45,25.0,15.0,Max Action,0.14861146,-0.8243916,13.868093,0.2521826407630276,0.24816721332058447,1.0040235000726196,0.9820125699043274
46,25.0,16.0,Max Action,0.13271818,-0.7164431,12.3050995,0.24816721332058447,0.274422892556696,0.9740860042016617,1.8123183250427246
47,25.0,17.0,Random Action,0.1239928,-0.664599,11.348695,0.274422892556696,0.2718015820976043,1.0026247490972762,1.1729907989501953
48,25.0,18.0,Random Action,0.118421786,-0.6332487,10.750775,0.2718015820976043,0.276448164161522,0.9953641965974134,4.257833480834961
49,25.0,19.0,Max Action,0.116399765,-0.61891204,10.505653,0.276448164161522,0.276036041714062,1.0004122073815833,1.3456734418869019
50,25.0,20.0,Random Action,0.11584628,-0.6032925,10.431213,0.276036041714062,0.2689006656109475,1.0071608935552814,0.8407489657402039
51,25.0,21.0,Random Action,0.11883159,-0.6127277,10.769804,0.2689006656109475,0.2736104195112791,0.9953013195992624,0.882032573223114
52,25.0,22.0,Random Action,0.13015549,-0.6729205,11.922425,0.2736104195112791,0.2942113615503945,0.9796098076720593,1.30922269821167
53,25.0,23.0,Random Action,0.15058604,-0.7900072,14.0007105,0.2942113615503945,0.3093857287403721,0.9849401833771011,0.8913866281509399
54,25.0,24.0,Random Action,0.14942841,-0.77302235,13.94201,0.3093857287403721,0.29794674942703575,1.011504654617791,1.9408701658248901
55,25.0,25.0,Random Action,0.14453863,-0.7362261,13.463331,0.29794674942703575,0.29554485930027574,1.0024047769756859,1.034266710281372
56,25.0,26.0,Random Action,0.13391724,-0.66507244,12.389249,0.29554485930027574,0.2962365659863822,0.999308532487814,0.7953842282295227
57,25.0,27.0,Max Action,0.12735876,-0.62857324,11.765926,0.2962365659863822,0.2908030006847895,1.0054483538903245,0.8946707844734192
58,25.0,28.0,Random Action,0.120723985,-0.58373624,11.051486,0.2908030006847895,0.2944720088268608,0.9963377144440477,1.1368465423583984
59,25.0,29.0,Random Action,0.112764284,-0.53670204,10.2521715,0.2944720088268608,0.29119311158499384,1.0032842787055762,0.8184195756912231
