,Reward Metric Values,Reward metric
0,0.9364231875472289,pearson correlation
1,0.918108698055906,pearson correlation
2,0.916623477922504,pearson correlation
3,0.9184181829713948,pearson correlation
4,0.9281344880418161,pearson correlation
5,0.9203895139170452,pearson correlation
6,0.9379777292825855,pearson correlation
7,0.9157840797449041,pearson correlation
8,0.9279378049562664,pearson correlation
9,0.9233165550940813,pearson correlation
10,0.9219848836065366,pearson correlation
11,0.9174863845129944,pearson correlation
12,0.924882565276722,pearson correlation
13,0.9247519113049485,pearson correlation
14,0.9166416807461419,pearson correlation
15,0.9204122818901576,pearson correlation
16,0.9324545998680867,pearson correlation
17,0.9131915122148391,pearson correlation
18,0.9166006758491233,pearson correlation
19,0.9159326892378652,pearson correlation
20,0.9184796347963501,pearson correlation
21,0.9302745733335366,pearson correlation
22,0.9176456827105322,pearson correlation
23,0.9308743272914926,pearson correlation
24,0.9147573805026307,pearson correlation
25,0.9319808641102304,pearson correlation
26,0.9274831164318654,pearson correlation
27,0.9231932560825145,pearson correlation
28,0.9153333227700426,pearson correlation
29,0.9146102113827446,pearson correlation
30,0.9192937016346073,pearson correlation
31,0.917191618497083,pearson correlation
32,0.9329887254550565,pearson correlation
33,0.9231989415087009,pearson correlation
34,0.918740218031452,pearson correlation
35,0.9107479270477956,pearson correlation
36,0.9266537533555073,pearson correlation
37,0.9274232991250161,pearson correlation
38,0.9174470536947428,pearson correlation
39,0.931598698698952,pearson correlation
40,0.922375958047034,pearson correlation
41,0.9187739238511082,pearson correlation
42,0.916202692321414,pearson correlation
43,0.9321636805838514,pearson correlation
44,0.9215240173444325,pearson correlation
45,0.918105828628948,pearson correlation
46,0.9161971881914133,pearson correlation
47,0.9266946280564122,pearson correlation
48,0.9141565920981303,pearson correlation
49,0.930234470170993,pearson correlation
50,0.5963146529349517,mutual information
51,0.5471037262006573,mutual information
52,0.6275885534211378,mutual information
53,0.6264540253265877,mutual information
54,0.5935180025669169,mutual information
55,0.6504108138530441,mutual information
56,0.6215688434486782,mutual information
57,0.5796540461853785,mutual information
58,0.5916516446746689,mutual information
59,0.5712113275071546,mutual information
60,0.6112418922498954,mutual information
61,0.6284548525551742,mutual information
62,0.5955924230100949,mutual information
63,0.5995794610169767,mutual information
64,0.5596972294499392,mutual information
65,0.6036844306038638,mutual information
66,0.6289170805446973,mutual information
67,0.6031807643601714,mutual information
68,0.6000615519685514,mutual information
69,0.6132489041618552,mutual information
70,0.5974296757866324,mutual information
71,0.636975532328666,mutual information
72,0.5801273889059964,mutual information
73,0.5749520016002704,mutual information
74,0.588790730393131,mutual information
75,0.5849722302716052,mutual information
76,0.5974783815889935,mutual information
77,0.6168311219968337,mutual information
78,0.5962359472147676,mutual information
79,0.5690781153855785,mutual information
80,0.6076239730893921,mutual information
81,0.6288575747568432,mutual information
82,0.6079371949669515,mutual information
83,0.5723043842023094,mutual information
84,0.6206797874329708,mutual information
85,0.6095033043265584,mutual information
86,0.5715004541729642,mutual information
87,0.6057747853310371,mutual information
88,0.5822383330350458,mutual information
89,0.5796642362793646,mutual information
90,0.5633643276927932,mutual information
91,0.5787281955163233,mutual information
92,0.6053569827935339,mutual information
93,0.6269919843106341,mutual information
94,0.5567435061622489,mutual information
95,0.6187561546789803,mutual information
96,0.5815507131656673,mutual information
97,0.5980974066031494,mutual information
98,0.6114398577744464,mutual information
99,0.5983444794339096,mutual information
