,Reward Metric Values,Reward metric
0,0.5807638505407205,pearson correlation
1,0.4628229349576429,pearson correlation
2,0.5207254855851536,pearson correlation
3,0.515415933339205,pearson correlation
4,0.5092438297480709,pearson correlation
5,0.5769447241360295,pearson correlation
6,0.49591695178520956,pearson correlation
7,0.5622613701302,pearson correlation
8,0.5379821453123066,pearson correlation
9,0.5224427725305256,pearson correlation
10,0.5932782864309762,pearson correlation
11,0.5107732179559124,pearson correlation
12,0.4362809640390592,pearson correlation
13,0.47313331619775545,pearson correlation
14,0.4803577063117659,pearson correlation
15,0.5353425050715104,pearson correlation
16,0.5385199553447445,pearson correlation
17,0.57634030326358,pearson correlation
18,0.4699068265569479,pearson correlation
19,0.6056394417914215,pearson correlation
20,0.5766747608310036,pearson correlation
21,0.43256200853979926,pearson correlation
22,0.5172583232516299,pearson correlation
23,0.4884993811460998,pearson correlation
24,0.5128383726834974,pearson correlation
25,0.4495249725447382,pearson correlation
26,0.5719314488964936,pearson correlation
27,0.5428536067592152,pearson correlation
28,0.5152726986445875,pearson correlation
29,0.512046425887703,pearson correlation
30,0.5745527177793639,pearson correlation
31,0.5374017467627553,pearson correlation
32,0.5874619530597482,pearson correlation
33,0.5375893437028721,pearson correlation
34,0.5462587737682977,pearson correlation
35,0.6148279181787628,pearson correlation
36,0.5220260998658728,pearson correlation
37,0.6215376119716414,pearson correlation
38,0.51873297955757,pearson correlation
39,0.6476350204933599,pearson correlation
40,0.682614726220183,pearson correlation
41,0.5247649600024938,pearson correlation
42,0.5590388116521008,pearson correlation
43,0.5220910710953803,pearson correlation
44,0.49967088337534826,pearson correlation
45,0.5278640355269666,pearson correlation
46,0.4667064198954412,pearson correlation
47,0.5878853421030096,pearson correlation
48,0.44334942233094154,pearson correlation
49,0.524408354468264,pearson correlation
50,0.23767973616573976,mutual information
51,0.2730069985588821,mutual information
52,0.2789571857461842,mutual information
53,0.23779755142023845,mutual information
54,0.24297993976900312,mutual information
55,0.20791836863921834,mutual information
56,0.23902146991530762,mutual information
57,0.23516506611923838,mutual information
58,0.241994114533383,mutual information
59,0.27549390951161484,mutual information
60,0.2702401460839524,mutual information
61,0.2818896696243598,mutual information
62,0.3146602909552085,mutual information
63,0.2388417888829398,mutual information
64,0.2612315867545899,mutual information
65,0.23020702785695518,mutual information
66,0.19729703434340126,mutual information
67,0.22848457729800561,mutual information
68,0.2940029707466149,mutual information
69,0.24613073710773672,mutual information
70,0.24414123993239434,mutual information
71,0.2379251609352813,mutual information
72,0.21942493672717758,mutual information
73,0.23300013748552204,mutual information
74,0.23706465035293636,mutual information
75,0.2370749569610895,mutual information
76,0.3050672143807978,mutual information
77,0.22248166805167138,mutual information
78,0.29438624233353605,mutual information
79,0.2861243459024882,mutual information
80,0.23197745231611072,mutual information
81,0.23704966937638122,mutual information
82,0.21358198260941574,mutual information
83,0.24060446280147724,mutual information
84,0.26528373843471903,mutual information
85,0.2630444898582025,mutual information
86,0.2578494105968252,mutual information
87,0.24901497405466544,mutual information
88,0.259905013388691,mutual information
89,0.21033450469951587,mutual information
90,0.20781610024321712,mutual information
91,0.2399291176933002,mutual information
92,0.2791078350950954,mutual information
93,0.2570192772816508,mutual information
94,0.22442204774692184,mutual information
95,0.24031189886644966,mutual information
96,0.2036446655278519,mutual information
97,0.2190031016632667,mutual information
98,0.22823658449899106,mutual information
99,0.2847032299950987,mutual information
