,iter_num,Selected Band,Action Type,Mean,Min,Max,Metric Current State,Metric Next State,Reward,Loss
0,0.0,0.0,Random Action,0.030794993,-0.17947093,0.96274316,0.0,0.0,1.0,0.4679411053657532
1,0.0,1.0,Random Action,0.039082922,-0.2785521,1.2794147,0.0,0.49020936835869816,0.612498143028106,0.29523468017578125
2,0.0,2.0,Random Action,0.042340696,-0.29611206,1.4089377,0.49020936835869816,0.6007396255142121,0.8953592387559053,0.04203379899263382
3,0.0,3.0,Random Action,0.051804304,-0.4384457,1.8266938,0.6007396255142121,0.4265653450188147,1.1902629873681643,0.9123462438583374
4,0.0,4.0,Random Action,0.04888991,-0.42479008,1.6610126,0.4265653450188147,0.49042205783803416,0.938139413252322,0.6980233788490295
5,0.0,5.0,Random Action,0.041624904,-0.39256775,1.382529,0.49042205783803416,0.5177725694807442,0.9730201268624424,0.2557879686355591
6,0.0,6.0,Random Action,0.03686156,-0.35031116,1.1909264,0.5177725694807442,0.5697227538257238,0.9493761594601677,0.28221336007118225
7,0.0,7.0,Random Action,0.033950765,-0.30870914,1.0691977,0.5697227538257238,0.49042603917488903,1.0825254755909908,0.246187224984169
8,0.0,8.0,Random Action,0.035849985,-0.35015234,1.1445498,0.49042603917488903,0.5313302778073131,0.9599210488989939,0.04618488624691963
9,0.0,9.0,Random Action,0.042493023,-0.4333612,1.3738426,0.5313302778073131,0.5375007098686093,0.9938485659591993,0.13887038826942444
10,0.0,10.0,Random Action,0.051204357,-0.54109204,1.6728455,0.5375007098686093,0.5460910681282076,0.9914464334412448,0.03231709450483322
11,0.0,11.0,Max Action,0.049206737,-0.51111025,1.6145737,0.5460910681282076,0.5746131128085631,0.9718808691068803,0.23149080574512482
12,0.0,12.0,Random Action,0.04771978,-0.4857402,1.5439696,0.5746131128085631,0.5916685558829471,0.983089177637504,2.121283769607544
13,0.0,13.0,Random Action,0.044136252,-0.4525092,1.4338398,0.5916685558829471,0.6332173710852524,0.9593025056525958,0.34033092856407166
14,0.0,14.0,Random Action,0.03670257,-0.36105156,1.1763709,0.6332173710852524,0.6422990600231164,0.9909594250435185,0.30538758635520935
15,0.0,15.0,Random Action,0.03705596,-0.38398975,1.2149798,0.6422990600231164,0.6706006150200825,0.9720951824380729,2.783055305480957
16,0.0,16.0,Random Action,0.030162076,-0.29472628,0.9492787,0.6706006150200825,0.6751827000291147,0.9954283967269698,1.6746407747268677
17,0.0,17.0,Random Action,0.027143622,-0.26348963,0.81934243,0.6751827000291147,0.6869393097989821,0.9883122291319794,0.42597225308418274
18,0.0,18.0,Random Action,0.02459372,-0.23650643,0.7014083,0.6869393097989821,0.6675243447283128,1.019604661163897,0.846102774143219
19,0.0,19.0,Random Action,0.023685357,-0.24007198,0.65631783,0.6675243447283128,0.6751412225307198,0.9924120571001751,0.5063091516494751
20,0.0,20.0,Random Action,0.021191489,-0.19721803,0.55531514,0.6751412225307198,0.6763739680241732,0.9987680140251427,1.0868351459503174
21,0.0,21.0,Random Action,0.019725429,-0.18056098,0.49843165,0.6763739680241732,0.6857809251873912,0.9906371498457189,0.29752954840660095
22,0.0,22.0,Random Action,0.019045208,-0.17202581,0.49414638,0.6857809251873912,0.6953109350152955,0.9905152568044787,0.9041578769683838
23,0.0,23.0,Random Action,0.018977556,-0.16663332,0.527334,0.6953109350152955,0.7042123246228935,0.9911381104721221,0.5947628021240234
24,0.0,24.0,Random Action,0.019221025,-0.17210363,0.5841468,0.7042123246228935,0.6711703096977724,1.0335939647020729,0.406993567943573
25,0.0,25.0,Random Action,0.02104679,-0.18670826,0.6911426,0.6711703096977724,0.6466405934401271,1.024833044857515,0.05189953371882439
26,0.0,26.0,Random Action,0.022144156,-0.21494994,0.79350495,0.6466405934401271,0.6386670847480342,1.0080053817696262,0.13277766108512878
27,0.0,27.0,Random Action,0.024345933,-0.23615034,0.9257559,0.6386670847480342,0.6421434382493628,0.9965296820196108,0.2385980784893036
28,0.0,28.0,Random Action,0.024002453,-0.22869505,0.9383873,0.6421434382493628,0.6437983888238274,0.998346418101103,0.09798320382833481
29,0.0,29.0,Random Action,0.024752796,-0.23479253,0.99995095,0.6437983888238274,0.6147285924404031,1.0294964470963306,0.0591442808508873
30,25.0,0.0,Random Action,0.1476692,-1.1671073,11.105441,0.0,0.0,1.0,0.7351071834564209
31,25.0,1.0,Random Action,0.13146082,-0.913758,9.853245,0.0,0.1454761970295666,0.8646104701264762,0.8714902997016907
32,25.0,2.0,Max Action,0.1439341,-1.0089114,10.831485,0.1454761970295666,0.28007767197188294,0.8740641787641079,0.7426234483718872
33,25.0,3.0,Random Action,0.15967615,-1.2051648,12.259115,0.28007767197188294,0.4088842979838028,0.8791439526817348,2.148158073425293
34,25.0,4.0,Random Action,0.1633513,-1.169574,12.699449,0.4088842979838028,0.3525021037590667,1.0580019687162006,0.3641812205314636
35,25.0,5.0,Random Action,0.16581173,-1.1760926,13.028778,0.3525021037590667,0.4994458050043311,0.863342581160371,0.9197104573249817
36,25.0,6.0,Random Action,0.1656694,-1.1257908,12.979324,0.4994458050043311,0.42455319844940476,1.077768399407864,1.214800477027893
37,25.0,7.0,Max Action,0.16477297,-1.0700364,12.855455,0.42455319844940476,0.5247856049668588,0.9046271523572752,0.9627715945243835
38,25.0,8.0,Max Action,0.16447464,-1.0501466,12.784277,0.5247856049668588,0.5977845522540916,0.92960180862897,0.6370671391487122
39,25.0,9.0,Max Action,0.16127001,-1.0215394,12.452593,0.5977845522540916,0.6470042368328235,0.9519719731632243,0.5756853818893433
