,iter_num,Selected Band,Action Type,Mean,Min,Max,Metric Current State,Metric Next State,Reward,Loss
0,0.0,0.0,Random Action,0.049791265,-0.20016229,0.82429695,0.0,0.0,1.0,0.47605615854263306
1,0.0,1.0,Random Action,0.057829816,-0.22194615,0.94136053,0.0,0.1427268943833122,0.8669908166270874,0.2981822192668915
2,0.0,2.0,Random Action,0.069546275,-0.2679682,1.1561598,0.1427268943833122,0.30625527298613325,0.8491424011847126,0.07502716034650803
3,0.0,3.0,Random Action,0.08207076,-0.33711898,1.3990356,0.30625527298613325,0.19857994477959598,1.1136861042174901,0.3267068862915039
4,0.0,4.0,Random Action,0.08372858,-0.34079605,1.456391,0.19857994477959598,0.2730039531268726,0.9282780127591496,0.04482027143239975
5,0.0,5.0,Random Action,0.08497772,-0.34541854,1.4876001,0.2730039531268726,0.3535972955498401,0.9225687847588256,0.09074919670820236
6,0.0,6.0,Random Action,0.09106656,-0.3603303,1.5686444,0.3535972955498401,0.42171750765101407,0.9341481709128459,0.07191518694162369
7,0.0,7.0,Random Action,0.082471065,-0.3114839,1.3929466,0.42171750765101407,0.3875709828222705,1.0347362101670021,0.0770890936255455
8,0.0,8.0,Random Action,0.07873536,-0.29595733,1.3171904,0.3875709828222705,0.3572425473406713,1.030793027368223,0.14578117430210114
9,0.0,9.0,Random Action,0.08064894,-0.3025716,1.3184187,0.3572425473406713,0.40012374797074474,0.9580251960965246,0.03017103113234043
10,0.0,10.0,Random Action,0.08692228,-0.3131955,1.383239,0.40012374797074474,0.43322032380303893,0.9674451232592812,0.13226164877414703
11,0.0,11.0,Random Action,0.08419821,-0.3016246,1.3316658,0.43322032380303893,0.4187892002758385,1.014535754900554,0.9687548279762268
12,0.0,12.0,Random Action,0.07789048,-0.2704228,1.1763943,0.4187892002758385,0.39654951519629034,1.0224888304189923,0.14406956732273102
13,0.0,13.0,Random Action,0.08165959,-0.28788126,1.1980382,0.39654951519629034,0.38428087775372827,1.0123442058993597,0.03550431877374649
14,0.0,14.0,Random Action,0.08136784,-0.29029584,1.1994249,0.38428087775372827,0.3833762815055195,1.0009050055187938,0.1681929975748062
15,0.0,15.0,Random Action,0.090022564,-0.3101367,1.2833762,0.3833762815055195,0.39988126759508574,0.9836304749087973,0.034472186118364334
16,0.0,16.0,Random Action,0.09594319,-0.33340433,1.3408358,0.39988126759508574,0.4170145340133511,0.9830126733273159,0.24248352646827698
17,0.0,17.0,Random Action,0.10195198,-0.33401328,1.4203029,0.4170145340133511,0.41193672564296463,1.0050907222881906,0.034006062895059586
18,0.0,18.0,Random Action,0.103035115,-0.33137438,1.4279,0.41193672564296463,0.41891198102739624,0.9930490152453405,0.0336650088429451
19,0.0,19.0,Random Action,0.10910133,-0.35156235,1.5262078,0.41891198102739624,0.4149174018062324,1.0040025681867175,0.12484104931354523
20,0.0,20.0,Random Action,0.12602119,-0.3997809,1.7961655,0.4149174018062324,0.4124526730072495,1.0024677687400394,0.23755021393299103
21,0.0,21.0,Random Action,0.12870449,-0.40450996,1.8169035,0.4124526730072495,0.42436451456517854,0.9881588235645064,1.2955436706542969
22,0.0,22.0,Random Action,0.12060499,-0.3817385,1.6331222,0.42436451456517854,0.4185103855741352,1.005871297890799,0.05674474686384201
23,0.0,23.0,Random Action,0.10582242,-0.34050575,1.3794668,0.4185103855741352,0.4275797591554069,0.9909716291373551,0.4064497947692871
24,0.0,24.0,Random Action,0.10287099,-0.32309154,1.3053125,0.4275797591554069,0.43262041904945797,0.9949720229131784,0.10228043049573898
25,0.0,25.0,Random Action,0.11059257,-0.34156403,1.4449062,0.43262041904945797,0.44417872522986135,0.988508234428162,0.04295427352190018
26,0.0,26.0,Random Action,0.10931301,-0.3256154,1.4565852,0.44417872522986135,0.4555525115013115,0.9886906507067782,0.032512929290533066
27,0.0,27.0,Random Action,0.11193744,-0.32904208,1.537451,0.4555525115013115,0.44812264956654524,1.0074575318443701,0.12720228731632233
28,0.0,28.0,Random Action,0.110068984,-0.32426235,1.500744,0.44812264956654524,0.45424302316471193,0.9938983177362332,0.06984931975603104
29,0.0,29.0,Random Action,0.11190659,-0.32435235,1.5344303,0.45424302316471193,0.4605340741991459,0.9937286961951483,0.050872527062892914
30,25.0,0.0,Random Action,0.6374023,-1.6679343,18.603285,0.0,0.0,1.0,1.2361825704574585
31,25.0,1.0,Random Action,0.65056163,-1.6742183,19.058287,0.0,0.2077977937130796,0.8123712866866722,0.8802951574325562
32,25.0,2.0,Max Action,0.64803594,-1.7300332,19.199999,0.2077977937130796,0.2514346573292545,0.9573015253761068,1.1667582988739014
33,25.0,3.0,Random Action,0.6142525,-1.6082939,18.22833,0.2514346573292545,0.34984479489022596,0.9062771292284378,1.7140527963638306
34,25.0,4.0,Random Action,0.58505607,-1.5352597,17.315115,0.34984479489022596,0.43572009136100787,0.9177086655942112,1.04938805103302
35,25.0,5.0,Random Action,0.55790657,-1.4669558,16.54131,0.43572009136100787,0.507166493888577,0.9310461779794387,0.9266135096549988
36,25.0,6.0,Max Action,0.5793574,-1.5277905,17.076529,0.507166493888577,0.4603474592074441,1.0479323525072197,1.7042323350906372
37,25.0,7.0,Max Action,0.6465226,-1.7293596,19.120142,0.4603474592074441,0.44814690966827986,1.0122752798514048,1.1599324941635132
38,25.0,8.0,Random Action,0.61476725,-1.6455525,18.170765,0.44814690966827986,0.47348883177705325,0.9749764890121031,1.0491878986358643
39,25.0,9.0,Max Action,0.6623044,-1.7848725,19.505995,0.47348883177705325,0.4899774542566531,0.9836465707859328,1.1385961771011353
